source,cell,rows,cols,mux,op,corner,temp,vdd,T,mc,tclk_wlen,tclk_dec,trestore,access,low,high,wave,failed
v202_sweep,10T,100,50,0,read,TT,25.0,1.0,1e-08,1,135.5,234.7,270.2,452.0,587.6,270.2,True,
v202_sweep,10T,100,50,0,write,TT,25.0,1.0,1e-08,1,153.0,250.5,286.1,120.3,273.3,286.1,True,
v202_sweep,10T,100,50,1,read,TT,25.0,1.0,1e-08,1,135.5,234.7,267.8,423.3,558.8,267.8,True,
v202_sweep,10T,100,50,1,write,TT,25.0,1.0,1e-08,1,153.0,250.6,284.7,120.8,273.8,284.7,True,
v202_sweep,10T,128,32,0,read,TT,25.0,1.0,1e-08,1,135.9,232.8,267.6,459.6,595.4,267.6,True,
v202_sweep,10T,128,32,0,write,TT,25.0,1.0,1e-08,1,149.9,244.1,277.8,115.8,265.7,277.8,True,
v202_sweep,10T,128,32,1,read,TT,25.0,1.0,1e-08,1,135.9,233.3,267.1,453.2,589.1,267.1,True,
v202_sweep,10T,128,32,1,write,TT,25.0,1.0,1e-08,1,149.9,244.2,277.7,116.3,266.2,277.7,True,
v202_sweep,10T,12,4,0,read,TT,25.0,1.0,1e-08,1,121.5,198.1,234.2,301.9,423.4,234.2,True,
v202_sweep,10T,12,4,0,write,TT,25.0,1.0,1e-08,1,124.9,200.6,215.0,102.2,227.1,215.0,True,
v202_sweep,10T,12,4,1,read,TT,25.0,1.0,1e-08,1,121.5,198.1,212.5,300.7,422.2,212.5,True,
v202_sweep,10T,12,4,1,write,TT,25.0,1.0,1e-08,1,125.0,199.8,210.5,110.0,234.9,210.5,True,
v202_sweep,10T,16,16,0,read,TT,25.0,1.0,1e-08,1,132.6,199.8,257.5,313.8,446.4,257.5,True,
v202_sweep,10T,16,16,0,write,TT,25.0,1.0,1e-08,1,142.3,207.6,248.1,107.0,249.4,248.1,True,
v202_sweep,10T,16,16,1,read,TT,25.0,1.0,1e-08,1,132.7,199.8,243.4,310.4,443.0,243.4,True,
v202_sweep,10T,16,16,1,write,TT,25.0,1.0,1e-08,1,142.3,207.7,248.8,110.6,252.9,248.8,True,
v202_sweep,10T,16,1,0,read,TT,25.0,1.0,1e-08,1,123.9,198.6,227.7,305.5,429.4,227.7,True,
v202_sweep,10T,16,1,0,write,TT,25.0,1.0,1e-08,1,124.3,199.1,213.3,82.8,207.1,213.3,True,
v202_sweep,10T,16,256,0,read,TT,25.0,1.0,1e-08,1,126.8,212.5,288.4,361.4,488.2,288.4,True,
v202_sweep,10T,16,256,0,write,TT,25.0,1.0,1e-08,1,189.0,282.6,337.7,145.9,335.0,337.7,True,
v202_sweep,10T,16,256,1,read,TT,25.0,1.0,1e-08,1,126.8,212.5,267.3,347.1,473.9,267.3,True,
v202_sweep,10T,16,256,1,write,TT,25.0,1.0,1e-08,1,189.1,282.7,334.8,150.2,339.3,334.8,True,
v202_sweep,10T,16,512,0,read,TT,25.0,1.0,1e-08,1,127.0,219.5,296.5,368.8,495.8,296.5,True,
v202_sweep,10T,16,512,0,write,TT,25.0,1.0,1e-08,1,290.4,374.6,429.8,169.6,460.0,429.8,True,
v202_sweep,10T,16,512,1,read,TT,25.0,1.0,1e-08,1,127.0,219.5,275.7,363.1,490.1,275.7,True,
v202_sweep,10T,16,512,1,write,TT,25.0,1.0,1e-08,1,290.4,374.5,426.0,172.9,463.4,426.0,True,
v202_sweep,10T,16,8,0,read,TT,25.0,1.0,1e-08,1,127.9,199.9,248.7,309.7,437.6,248.7,True,
v202_sweep,10T,16,8,0,write,TT,25.0,1.0,1e-08,1,134.7,203.4,236.7,95.5,230.2,236.7,True,
v202_sweep,10T,16,8,1,read,TT,25.0,1.0,1e-08,1,127.9,199.7,228.0,307.5,435.4,228.0,True,
v202_sweep,10T,16,8,1,write,TT,25.0,1.0,1e-08,1,134.8,203.4,233.5,100.0,234.8,233.5,True,
v202_sweep,10T,1,1,0,read,TT,25.0,1.0,1e-08,1,112.6,,216.5,285.5,398.1,216.5,True,
v202_sweep,10T,1,1,0,write,TT,25.0,1.0,1e-08,1,114.2,,187.8,118.6,232.8,187.8,True,
v202_sweep,10T,20,10,0,read,TT,25.0,1.0,1e-08,1,134.2,200.8,250.7,317.7,452.0,250.7,True,
v202_sweep,10T,20,10,0,write,TT,25.0,1.0,1e-08,1,139.9,205.4,240.1,98.6,238.5,240.1,True,
v202_sweep,10T,20,10,1,read,TT,25.0,1.0,1e-08,1,134.2,200.9,237.5,314.9,449.1,237.5,True,
v202_sweep,10T,20,10,1,write,TT,25.0,1.0,1e-08,1,139.9,205.4,242.8,100.1,240.0,242.8,True,
v202_sweep,10T,256,8,0,read,TT,25.0,1.0,1e-08,1,137.4,236.2,266.7,592.2,729.6,266.7,True,
v202_sweep,10T,256,8,0,write,TT,25.0,1.0,1e-08,1,140.0,238.9,269.3,105.4,245.4,269.3,True,
v202_sweep,10T,256,8,1,read,TT,25.0,1.0,1e-08,1,137.4,236.2,265.8,590.6,727.9,265.8,True,
v202_sweep,10T,256,8,1,write,TT,25.0,1.0,1e-08,1,140.0,238.9,269.0,106.5,246.5,269.0,True,
v202_sweep,10T,2,128,0,read,TT,25.0,1.0,1e-08,1,120.6,175.0,276.7,325.5,446.1,276.7,True,
v202_sweep,10T,2,128,0,write,TT,25.0,1.0,1e-08,1,150.3,212.2,276.4,168.7,319.0,276.4,True,
v202_sweep,10T,2,128,1,read,TT,25.0,1.0,1e-08,1,120.2,174.5,292.4,320.2,440.4,292.4,True,
v202_sweep,10T,2,128,1,write,TT,25.0,1.0,1e-08,1,150.3,212.2,280.0,183.7,334.1,280.0,True,
v202_sweep,10T,2,1,0,read,TT,25.0,1.0,1e-08,1,113.5,166.1,217.6,286.9,400.4,217.6,True,
v202_sweep,10T,2,1,0,write,TT,25.0,1.0,1e-08,1,114.8,166.8,189.2,120.0,234.8,189.2,True,
