Index        {U}              V(V1)             V(V2)      
0       -7.10000000e-01    7.04208733e-01    7.10006269e-01
1       -7.09000000e-01    7.05208628e-01    7.09006362e-01
2       -7.08000000e-01    7.06208519e-01    7.08006460e-01
3       -7.07000000e-01    7.07208405e-01    7.07006562e-01
4       -7.06000000e-01    7.08208285e-01    7.06006668e-01
5       -7.05000000e-01    7.09208161e-01    7.05006778e-01
6       -7.04000000e-01    7.10208031e-01    7.04006892e-01
7       -7.03000000e-01    7.11207896e-01    7.03007012e-01
8       -7.02000000e-01    7.12207755e-01    7.02007136e-01
9       -7.01000000e-01    7.13207607e-01    7.01007265e-01
10      -7.00000000e-01    7.14207454e-01    7.00007400e-01
11      -6.99000000e-01    7.15207294e-01    6.99007539e-01
12      -6.98000000e-01    7.16207127e-01    6.98007685e-01
13      -6.97000000e-01    7.17206953e-01    6.97007836e-01
14      -6.96000000e-01    7.18206771e-01    6.96007994e-01
15      -6.95000000e-01    7.19206582e-01    6.95008158e-01
16      -6.94000000e-01    7.20206385e-01    6.94008328e-01
17      -6.93000000e-01    7.21206180e-01    6.93008506e-01
18      -6.92000000e-01    7.22205966e-01    6.92008690e-01
19      -6.91000000e-01    7.23205743e-01    6.91008882e-01
20      -6.90000000e-01    7.24205510e-01    6.90009081e-01
21      -6.89000000e-01    7.25205268e-01    6.89009289e-01
22      -6.88000000e-01    7.26205016e-01    6.88009505e-01
23      -6.87000000e-01    7.27204753e-01    6.87009729e-01
24      -6.86000000e-01    7.28204480e-01    6.86009962e-01
25      -6.85000000e-01    7.29204195e-01    6.85010205e-01
26      -6.84000000e-01    7.30203898e-01    6.84010457e-01
27      -6.83000000e-01    7.31203588e-01    6.83010720e-01
28      -6.82000000e-01    7.32203266e-01    6.82010992e-01
29      -6.81000000e-01    7.33202931e-01    6.81011276e-01
30      -6.80000000e-01    7.34202582e-01    6.80011571e-01
31      -6.79000000e-01    7.35202218e-01    6.79011877e-01
32      -6.78000000e-01    7.36201840e-01    6.78012196e-01
33      -6.77000000e-01    7.37201446e-01    6.77012527e-01
34      -6.76000000e-01    7.38201036e-01    6.76012871e-01
35      -6.75000000e-01    7.39200608e-01    6.75013229e-01
36      -6.74000000e-01    7.40200164e-01    6.74013600e-01
37      -6.73000000e-01    7.41199701e-01    6.73013987e-01
38      -6.72000000e-01    7.42199219e-01    6.72014389e-01
39      -6.71000000e-01    7.43198718e-01    6.71014806e-01
40      -6.70000000e-01    7.44198196e-01    6.70015240e-01
41      -6.69000000e-01    7.45197653e-01    6.69015690e-01
42      -6.68000000e-01    7.46197087e-01    6.68016159e-01
43      -6.67000000e-01    7.47196499e-01    6.67016646e-01
44      -6.66000000e-01    7.48195887e-01    6.66017151e-01
45      -6.65000000e-01    7.49195250e-01    6.65017677e-01
46      -6.64000000e-01    7.50194586e-01    6.64018223e-01
47      -6.63000000e-01    7.51193897e-01    6.63018790e-01
48      -6.62000000e-01    7.52193179e-01    6.62019379e-01
49      -6.61000000e-01    7.53192432e-01    6.61019991e-01
50      -6.60000000e-01    7.54191655e-01    6.60020627e-01
51      -6.59000000e-01    7.55190846e-01    6.59021288e-01
52      -6.58000000e-01    7.56190005e-01    6.58021974e-01
53      -6.57000000e-01    7.57189130e-01    6.57022686e-01
54      -6.56000000e-01    7.58188220e-01    6.56023427e-01
55      -6.55000000e-01    7.59187273e-01    6.55024196e-01
56      -6.54000000e-01    7.60186288e-01    6.54024994e-01
57      -6.53000000e-01    7.61185263e-01    6.53025823e-01
58      -6.52000000e-01    7.62184198e-01    6.52026685e-01
59      -6.51000000e-01    7.63183089e-01    6.51027579e-01
60      -6.50000000e-01    7.64181936e-01    6.50028507e-01
61      -6.49000000e-01    7.65180737e-01    6.49029472e-01
62      -6.48000000e-01    7.66179490e-01    6.48030473e-01
63      -6.47000000e-01    7.67178193e-01    6.47031512e-01
64      -6.46000000e-01    7.68176845e-01    6.46032592e-01
65      -6.45000000e-01    7.69175442e-01    6.45033712e-01
66      -6.44000000e-01    7.70173984e-01    6.44034875e-01
67      -6.43000000e-01    7.71172467e-01    6.43036083e-01
68      -6.42000000e-01    7.72170891e-01    6.42037337e-01
69      -6.41000000e-01    7.73169251e-01    6.41038638e-01
70      -6.40000000e-01    7.74167547e-01    6.40039988e-01
71      -6.39000000e-01    7.75165775e-01    6.39041390e-01
72      -6.38000000e-01    7.76163933e-01    6.38042845e-01
73      -6.37000000e-01    7.77162017e-01    6.37044354e-01
74      -6.36000000e-01    7.78160026e-01    6.36045921e-01
75      -6.35000000e-01    7.79157957e-01    6.35047547e-01
76      -6.34000000e-01    7.80155805e-01    6.34049234e-01
77      -6.33000000e-01    7.81153569e-01    6.33050985e-01
78      -6.32000000e-01    7.82151245e-01    6.32052801e-01
79      -6.31000000e-01    7.83148829e-01    6.31054686e-01
80      -6.30000000e-01    7.84146319e-01    6.30056641e-01
81      -6.29000000e-01    7.85143709e-01    6.29058669e-01
82      -6.28000000e-01    7.86140998e-01    6.28060773e-01
83      -6.27000000e-01    7.87138180e-01    6.27062956e-01
84      -6.26000000e-01    7.88135252e-01    6.26065219e-01
85      -6.25000000e-01    7.89132209e-01    6.25067567e-01
86      -6.24000000e-01    7.90129048e-01    6.24070003e-01
87      -6.23000000e-01    7.91125763e-01    6.23072528e-01
88      -6.22000000e-01    7.92122351e-01    6.22075148e-01
89      -6.21000000e-01    7.93118805e-01    6.21077864e-01
90      -6.20000000e-01    7.94115122e-01    6.20080680e-01
91      -6.19000000e-01    7.95111296e-01    6.19083600e-01
92      -6.18000000e-01    7.96107322e-01    6.18086628e-01
93      -6.17000000e-01    7.97103194e-01    6.17089767e-01
94      -6.16000000e-01    7.98098906e-01    6.16093021e-01
95      -6.15000000e-01    7.99094452e-01    6.15096395e-01
96      -6.14000000e-01    8.00089827e-01    6.14099892e-01
97      -6.13000000e-01    8.01085024e-01    6.13103516e-01
98      -6.12000000e-01    8.02080036e-01    6.12107273e-01
99      -6.11000000e-01    8.03074856e-01    6.11111167e-01
100     -6.10000000e-01    8.04069478e-01    6.10115202e-01
101     -6.09000000e-01    8.05063894e-01    6.09119384e-01
102     -6.08000000e-01    8.06058096e-01    6.08123717e-01
103     -6.07000000e-01    8.07052077e-01    6.07128207e-01
104     -6.06000000e-01    8.08045828e-01    6.06132859e-01
105     -6.05000000e-01    8.09039342e-01    6.05137679e-01
106     -6.04000000e-01    8.10032609e-01    6.04142672e-01
107     -6.03000000e-01    8.11025620e-01    6.03147845e-01
108     -6.02000000e-01    8.12018367e-01    6.02153203e-01
109     -6.01000000e-01    8.13010839e-01    6.01158753e-01
110     -6.00000000e-01    8.14003027e-01    6.00164501e-01
111     -5.99000000e-01    8.14994920e-01    5.99170454e-01
112     -5.98000000e-01    8.15986508e-01    5.98176619e-01
113     -5.97000000e-01    8.16977781e-01    5.97183004e-01
114     -5.96000000e-01    8.17968725e-01    5.96189614e-01
115     -5.95000000e-01    8.18959331e-01    5.95196459e-01
116     -5.94000000e-01    8.19949586e-01    5.94203546e-01
117     -5.93000000e-01    8.20939477e-01    5.93210883e-01
118     -5.92000000e-01    8.21928992e-01    5.92218478e-01
119     -5.91000000e-01    8.22918116e-01    5.91226340e-01
120     -5.90000000e-01    8.23906838e-01    5.90234478e-01
121     -5.89000000e-01    8.24895142e-01    5.89242901e-01
122     -5.88000000e-01    8.25883013e-01    5.88251618e-01
123     -5.87000000e-01    8.26870438e-01    5.87260639e-01
124     -5.86000000e-01    8.27857399e-01    5.86269974e-01
125     -5.85000000e-01    8.28843882e-01    5.85279633e-01
126     -5.84000000e-01    8.29829869e-01    5.84289627e-01
127     -5.83000000e-01    8.30815343e-01    5.83299967e-01
128     -5.82000000e-01    8.31800288e-01    5.82310664e-01
129     -5.81000000e-01    8.32784684e-01    5.81321729e-01
130     -5.80000000e-01    8.33768513e-01    5.80333174e-01
131     -5.79000000e-01    8.34751756e-01    5.79345013e-01
132     -5.78000000e-01    8.35734393e-01    5.78357256e-01
133     -5.77000000e-01    8.36716403e-01    5.77369918e-01
134     -5.76000000e-01    8.37697766e-01    5.76383011e-01
135     -5.75000000e-01    8.38678459e-01    5.75396549e-01
136     -5.74000000e-01    8.39658460e-01    5.74410547e-01
137     -5.73000000e-01    8.40637746e-01    5.73425019e-01
138     -5.72000000e-01    8.41616294e-01    5.72439980e-01
139     -5.71000000e-01    8.42594079e-01    5.71455445e-01
140     -5.70000000e-01    8.43571076e-01    5.70471430e-01
141     -5.69000000e-01    8.44547258e-01    5.69487951e-01
142     -5.68000000e-01    8.45522601e-01    5.68505025e-01
143     -5.67000000e-01    8.46497075e-01    5.67522669e-01
144     -5.66000000e-01    8.47470653e-01    5.66540901e-01
145     -5.65000000e-01    8.48443307e-01    5.65559738e-01
146     -5.64000000e-01    8.49415006e-01    5.64579199e-01
147     -5.63000000e-01    8.50385720e-01    5.63599304e-01
