Index       TIME             V(CLK)          V(CLK_BUF)        V(CLK_BAR)          V(CSB)           V(CS_BAR)           V(CS)            V(WEB)           V(WE_BAR)           V(WE)       V(GATED_CLK_BUF)  V(GATED_CLK_BAR)      V(WL_EN)           V(RWL)             V(A0)           V(A_DFF0)           V(A1)           V(A_DFF1)           V(A2)           V(A_DFF2)           V(A3)           V(A_DFF3)          V(RBL)         V(RBL_DELAY)    V(RBL_DELAY_BAR)       V(W_EN)           V(PRE)            V(S_EN)           V(WL15)           V(BL7)            V(BLB7)      V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:Q) V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:QB)     V(SA_Q7)          V(SA_QB7)          V(DIN0)         V(DIN_DFF0)         V(OUT)      
0        0.00000000e+00    0.00000000e+00    5.05136986e-05    9.99997703e-01    0.00000000e+00    1.00000000e+00    1.14240069e-05    1.00000000e+00    6.28087630e-06    1.00000000e+00    6.01630342e-06    7.16014221e-06    1.78129081e-05    5.74148658e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.99994011e-01    9.26755166e-06    1.56797120e-05    9.99995741e-01    2.56207661e-05    7.35425376e-06    0.00000000e+00    1.00000000e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-11    0.00000000e+00    1.68958977e-04    9.99993429e-01    2.00000000e-01    9.99996663e-01    1.16966110e-05    1.00000000e+00    4.20850463e-01    3.16866804e-01    6.48376216e-06    4.56223113e-04    1.81255213e-05    5.95280801e-06    0.00000000e+00    1.33449709e-05    0.00000000e+00    1.35427355e-05    0.00000000e+00    1.40284473e-05    0.00000000e+00    1.05755593e-05    1.36726355e-05    1.00066600e+00    2.28410475e-04   -3.27530637e-05    1.00000821e+00    4.98834216e-04    1.57111290e-05    5.34984473e-05    1.00006213e+00    3.20428249e-06    9.99992914e-01    8.67257908e-05    1.00005069e+00    0.00000000e+00    8.98234858e-06    1.44568516e-05
2        2.00000000e-11    0.00000000e+00   -2.17532401e-05    9.99997407e-01    4.00000000e-01    9.99998346e-01    1.52087327e-05    1.00000000e+00    9.93666816e-01    5.46906516e-02    6.18167841e-06   -4.36970381e-04    1.99370522e-05    6.00535643e-06    0.00000000e+00    1.51951723e-05    0.00000000e+00    1.53381145e-05    0.00000000e+00    1.59545714e-05    0.00000000e+00    9.67428740e-06    1.86622376e-05    9.99583108e-01    1.78537671e-04    1.02088668e-04    9.99983420e-01   -1.06351880e-04    1.20414739e-07    1.03788080e-05    9.99926782e-01    3.30737029e-06    9.99992685e-01    2.96652287e-05    9.99945087e-01    0.00000000e+00    6.83018154e-06    1.57059020e-05
3        3.00000000e-11    0.00000000e+00   -1.74432938e-03    9.99901101e-01    6.00000000e-01    9.99997348e-01    7.17780600e-06    1.00000000e+00    9.99418186e-01    4.28857793e-03    3.94247143e-06   -2.47606043e-05    1.78877439e-05    5.94087113e-06    0.00000000e+00    8.48559773e-06    0.00000000e+00    8.52456358e-06    0.00000000e+00    9.17643793e-06    0.00000000e+00    4.75654589e-07    3.28498779e-05    9.99851018e-01    1.03021953e-04    8.79615890e-05    9.99999919e-01   -1.21102876e-04    9.75001241e-06    2.27716370e-05    9.99979696e-01    3.17311134e-06    9.99992624e-01    6.59889356e-05    9.99986994e-01    0.00000000e+00   -3.83666779e-06    1.53366996e-05
4        4.00000000e-11    0.00000000e+00   -5.30657406e-03    9.99855755e-01    8.00000000e-01    9.99997652e-01    6.40864405e-06    1.00000000e+00    9.99974795e-01    1.58721008e-04    5.65206629e-06    5.56547264e-06    1.76142115e-05    5.89348704e-06    0.00000000e+00    8.03005241e-06    0.00000000e+00    8.13835351e-06    0.00000000e+00    8.83185984e-06    0.00000000e+00    2.04385688e-06    4.31282864e-05    9.99972513e-01    1.39850505e-05    3.72539145e-05    9.99997744e-01   -4.26788790e-05    8.89572719e-06    3.91636906e-05    9.99996696e-01    3.11512470e-06    9.99992550e-01    1.03243726e-04    9.99997957e-01    0.00000000e+00    3.28724551e-08    1.50623294e-05
5        5.00000000e-11    0.00000000e+00   -7.29666861e-03    9.99998342e-01    1.00000000e+00    9.99998719e-01    1.80807637e-05    1.00000000e+00    9.99985795e-01    1.35595839e-05    1.11369596e-05    7.61637466e-06    1.77618543e-05    5.90563521e-06    0.00000000e+00    2.97614117e-05    0.00000000e+00    3.01527061e-05    0.00000000e+00    3.08718034e-05    0.00000000e+00    3.04048449e-05    5.35048812e-05    9.99991615e-01    6.78851883e-06    2.09279647e-05    9.99996474e-01   -1.96542722e-06    8.21521857e-06    5.31279303e-05    9.99995936e-01    3.13475379e-06    9.99992569e-01    1.34215404e-04    9.99997122e-01    0.00000000e+00    3.25501013e-05    1.50868420e-05
6        6.00000000e-11    0.00000000e+00   -6.77012185e-03    9.99994294e-01    1.00000000e+00    9.99997110e-01    3.26363625e-06    1.00000000e+00    9.99997275e-01    1.19456144e-05    4.15849523e-06    7.24889804e-06    1.78013146e-05    5.90829799e-06    0.00000000e+00    2.65857596e-05    0.00000000e+00    2.66707186e-05    0.00000000e+00    2.72953622e-05    0.00000000e+00    1.89808565e-05    6.40965623e-05    9.99993220e-01    6.33138421e-06    1.71880546e-05    9.99996346e-01    1.60114996e-05    8.11430729e-06    6.55812318e-05    9.99993746e-01    3.13826444e-06    9.99992573e-01    1.62873596e-04    9.99995515e-01    0.00000000e+00    1.33729770e-05    1.50980225e-05
7        7.00000000e-11    0.00000000e+00   -6.55084357e-03    1.00007273e+00    1.00000000e+00    9.99997491e-01    2.71338798e-05    1.00000000e+00    9.99997434e-01    1.31889193e-05    1.08775602e-05    7.97133205e-06    1.78105312e-05    5.90863143e-06    0.00000000e+00    2.93202636e-05    0.00000000e+00    2.95544711e-05    0.00000000e+00    3.03033917e-05    0.00000000e+00    2.61669976e-05    7.47181296e-05    9.99993545e-01    6.30565150e-06    1.65373049e-05    9.99996372e-01    2.51806136e-05    8.10533833e-06    7.73691943e-05    9.99992411e-01    3.13899351e-06    9.99992574e-01    1.90849807e-04    9.99994556e-01    0.00000000e+00    2.72221454e-05    1.51036188e-05
8        8.00000000e-11    0.00000000e+00   -4.21156585e-03    1.00006845e+00    1.00000000e+00    9.99998352e-01    6.75847667e-06    1.00000000e+00    9.99997376e-01    1.18171014e-05    4.96161296e-06    7.45643276e-06    1.78135358e-05    5.90877018e-06    0.00000000e+00    2.57495736e-05    0.00000000e+00    2.58002099e-05    0.00000000e+00    2.64397324e-05    0.00000000e+00    1.78117472e-05    8.53390609e-05    9.99993569e-01    6.33925469e-06    1.61412728e-05    9.99996403e-01    2.97065795e-05    8.10753015e-06    8.87584072e-05    9.99991706e-01    3.13938611e-06    9.99992574e-01    2.18490972e-04    9.99994051e-01    0.00000000e+00    1.26833200e-05    1.51063316e-05
9        9.00000000e-11    0.00000000e+00   -2.63893129e-03    1.00005178e+00    1.00000000e+00    9.99997083e-01    1.61841304e-05    1.00000000e+00    9.99997356e-01    1.22538385e-05    6.02640980e-06    7.61540163e-06    1.78120019e-05    5.90837372e-06    0.00000000e+00    1.76292571e-05    0.00000000e+00    1.76479713e-05    0.00000000e+00    1.83431361e-05    0.00000000e+00    9.33750077e-06    9.59547008e-05    9.99993584e-01    6.34425475e-06    1.60907016e-05    9.99996417e-01    3.20630945e-05    8.10767886e-06    9.99663669e-05    9.99991327e-01    3.13928362e-06    9.99992574e-01    2.45979288e-04    9.99993785e-01    0.00000000e+00    5.93801167e-06    1.51075078e-05
