Index       TIME             V(CLK)          V(CLK_BUF)        V(CLK_BAR)          V(CSB)           V(CS_BAR)           V(CS)            V(WEB)           V(WE_BAR)           V(WE)       V(GATED_CLK_BUF)  V(GATED_CLK_BAR)      V(WL_EN)           V(RWL)             V(A0)           V(A_DFF0)           V(A1)           V(A_DFF1)           V(A2)           V(A_DFF2)           V(A3)           V(A_DFF3)          V(RBL)         V(RBL_DELAY)    V(RBL_DELAY_BAR)       V(W_EN)           V(PRE)            V(S_EN)           V(WL15)           V(BL7)            V(BLB7)      V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:Q) V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:QB)     V(SA_Q7)          V(SA_QB7)          V(OUT)      
0        0.00000000e+00    0.00000000e+00    3.05437590e-05    9.99995931e-01    0.00000000e+00    1.00000000e+00    1.49152233e-05    0.00000000e+00    1.05708259e-05    1.00000000e+00    1.02782226e-05    1.15265317e-05    2.30755529e-05    1.00095223e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.99991888e-01    1.38353009e-05    9.65379144e-06    9.99993937e-01    3.16845955e-05    1.15800874e-05    0.00000000e+00    9.99996901e-01    0.00000000e+00    1.00000000e+00    0.00000000e+00    1.00000000e+00    2.37761603e-05
1        1.00000000e-11    0.00000000e+00    2.02964784e-04    9.99981550e-01    2.00000000e-01    9.99993750e-01    1.25409911e-05    0.00000000e+00    4.95948812e-01    2.99618989e-01    1.00994612e-05    6.14280313e-04    2.24934986e-05    1.02371196e-05    0.00000000e+00    1.59193784e-05    0.00000000e+00    1.61397576e-05    0.00000000e+00    1.66159463e-05    0.00000000e+00    1.29221035e-05    1.95744512e-05    1.00078643e+00    3.61313853e-04    3.49020057e-04    1.00000874e+00    6.04998357e-04    2.19929678e-05    7.91275019e-05    1.00007671e+00    4.51553415e-06    9.99987216e-01    1.15674742e-04    1.00005982e+00    2.41723143e-05
2        2.00000000e-11    0.00000000e+00   -3.43867223e-04    9.99968613e-01    4.00000000e-01    9.99995642e-01    1.84220342e-05    0.00000000e+00    9.94388971e-01    4.40076202e-02    9.95508911e-06   -2.93815063e-04    2.55838085e-05    1.04107075e-05    0.00000000e+00    1.65793134e-05    0.00000000e+00    1.67120011e-05    0.00000000e+00    1.73175256e-05    0.00000000e+00    1.01142975e-05    3.01892554e-05    9.99595905e-01    2.62918486e-04    1.90111595e-04    9.99987465e-01   -1.32237127e-04    7.29346198e-06    2.33652470e-05    9.99924803e-01    4.90651383e-06    9.99987097e-01    6.12253742e-05    9.99945805e-01    2.50352002e-05
3        3.00000000e-11    0.00000000e+00   -3.77457700e-03    9.99829240e-01    6.00000000e-01    9.99995376e-01    7.63913264e-06    0.00000000e+00    9.99552614e-01    3.52638927e-03    6.97095570e-06   -1.13753354e-05    2.30271007e-05    1.02763948e-05    0.00000000e+00    6.17192817e-06    0.00000000e+00    6.16836833e-06    0.00000000e+00    6.81521130e-06    0.00000000e+00   -3.41061807e-06    4.87231760e-05    9.99879918e-01    9.47534114e-05    3.28550931e-05    9.99999010e-01   -9.45934365e-05    1.49097616e-05    4.99055793e-05    9.99983122e-01    4.57889451e-06    9.99986823e-01    1.19191822e-04    9.99988571e-01    2.39277451e-05
4        4.00000000e-11    0.00000000e+00   -9.19349304e-03    9.99796275e-01    8.00000000e-01    9.99996035e-01    8.38961879e-06    0.00000000e+00    9.99988302e-01    1.80557855e-05    1.12755063e-05    1.20705509e-05    2.28820871e-05    1.02328987e-05    0.00000000e+00    9.44709221e-06    0.00000000e+00    9.60942744e-06    0.00000000e+00    1.03208773e-05    0.00000000e+00    4.31022202e-06    6.39373374e-05    9.99985818e-01    3.88254984e-06    9.16458483e-06    9.99995663e-01   -1.82175841e-05    1.34483057e-05    7.70136223e-05    9.99996074e-01    4.54176549e-06    9.99986768e-01    1.72465220e-04    9.99996988e-01    2.37205282e-05
5        5.00000000e-11    0.00000000e+00   -9.43684278e-03    1.00012391e+00    1.00000000e+00    9.99997207e-01    2.69473533e-05    0.00000000e+00    9.99988656e-01    1.31331510e-05    1.98079156e-05    1.25078122e-05    2.30487769e-05    1.02576633e-05    0.00000000e+00    5.31523732e-05    0.00000000e+00    5.38100146e-05    0.00000000e+00    5.45155375e-05    0.00000000e+00    5.90372031e-05    7.95521500e-05    9.99990648e-01    8.85800626e-06    9.30229569e-06    9.99994978e-01    1.53702297e-05    1.29536710e-05    1.00364600e-04    9.99992400e-01    4.56980488e-06    9.99986799e-01    2.19134540e-04    9.99994257e-01    2.37566461e-05
6        6.00000000e-11    0.00000000e+00   -8.48467590e-03    9.99927748e-01    1.00000000e+00    9.99996945e-01    8.51340206e-06    0.00000000e+00    9.99995471e-01    1.60098821e-05    4.60943431e-06    1.20349460e-05    2.30726299e-05    1.02568798e-05    0.00000000e+00    1.85034586e-05    0.00000000e+00    1.82630484e-05    0.00000000e+00    1.88636899e-05    0.00000000e+00    1.79633353e-06    9.53255811e-05    9.99990842e-01    8.54933427e-06    9.66607121e-06    9.99995050e-01    3.11344937e-05    1.29438296e-05    1.22146210e-04    9.99990218e-01    4.57033496e-06    9.99986799e-01    2.64385054e-04    9.99992684e-01    2.37671193e-05
7        7.00000000e-11    0.00000000e+00   -5.14771726e-03    1.00018444e+00    1.00000000e+00    9.99992514e-01    1.38046685e-05    0.00000000e+00    9.99995034e-01    1.68583689e-05    1.01007661e-05    1.11841353e-05    2.30663661e-05    1.02566471e-05    0.00000000e+00    4.93779121e-05    0.00000000e+00    4.96839034e-05    0.00000000e+00    5.02745487e-05    0.00000000e+00    4.81766151e-05    1.11085455e-04    9.99990779e-01    8.54833632e-06    9.63673692e-06    9.99995080e-01    3.90785406e-05    1.29396871e-05    1.43155300e-04    9.99989093e-01    4.57126096e-06    9.99986799e-01    3.09065068e-04    9.99991873e-01    2.37715999e-05
8        8.00000000e-11    0.00000000e+00   -2.09430878e-03    1.00007244e+00    1.00000000e+00    9.99995953e-01    1.55558001e-05    0.00000000e+00    9.99995447e-01    1.67947057e-05    8.41391831e-06    1.22469264e-05    2.30763197e-05    1.02563080e-05    0.00000000e+00    2.09483945e-05    0.00000000e+00    2.08237704e-05    0.00000000e+00    2.14907923e-05    0.00000000e+00    8.25172987e-06    1.26832523e-04    9.99990918e-01    8.70642395e-06    9.64707938e-06    9.99995112e-01    4.30309984e-05    1.29377956e-05    1.63763556e-04    9.99988533e-01    4.57209209e-06    9.99986799e-01    3.53450937e-04    9.99991470e-01    2.37737449e-05
9        9.00000000e-11    0.00000000e+00   -8.27531575e-04    1.00002826e+00    1.00000000e+00    9.99995614e-01    1.66817434e-05    0.00000000e+00    9.99995420e-01    1.72013143e-05    9.42344717e-06    1.22263151e-05    2.30752969e-05    1.02561904e-05    0.00000000e+00    1.45134409e-05    0.00000000e+00    1.45068968e-05    0.00000000e+00    1.52026807e-05    0.00000000e+00    5.72034791e-06    1.42564931e-04    9.99990918e-01    8.79587125e-06    9.65211665e-06    9.99995122e-01    4.49962269e-05    1.29364222e-05    1.84162833e-04    9.99988254e-01    4.57293472e-06    9.99986799e-01    3.97682304e-04    9.99991269e-01    2.37748530e-05
