,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,cv,range,skew,kurtosis
PAVG,1.0,-7.35838e-05,,-7.35838e-05,-7.35838e-05,-7.35838e-05,-7.35838e-05,-7.35838e-05,-7.35838e-05,-7.35838e-05,-7.35838e-05,-7.35838e-05,,0.0,,
PDYN,1.0,-2.885993e-06,,-2.885993e-06,-2.885993e-06,-2.885993e-06,-2.885993e-06,-2.885993e-06,-2.885993e-06,-2.885993e-06,-2.885993e-06,-2.885993e-06,,0.0,,
PSTC,1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,,
TBL,1.0,3.737993e-09,,3.737993e-09,3.737993e-09,3.737993e-09,3.737993e-09,3.737993e-09,3.737993e-09,3.737993e-09,3.737993e-09,3.737993e-09,,0.0,,
TDECODER,1.0,6.182415e-11,,6.182415e-11,6.182415e-11,6.182415e-11,6.182415e-11,6.182415e-11,6.182415e-11,6.182415e-11,6.182415e-11,6.182415e-11,,0.0,,
TPRCH,1.0,4.685578e-11,,4.685578e-11,4.685578e-11,4.685578e-11,4.685578e-11,4.685578e-11,4.685578e-11,4.685578e-11,4.685578e-11,4.685578e-11,,0.0,,
TSA,1.0,3.928832e-11,,3.928832e-11,3.928832e-11,3.928832e-11,3.928832e-11,3.928832e-11,3.928832e-11,3.928832e-11,3.928832e-11,3.928832e-11,,0.0,,
TSWING,1.0,2.751002e-11,,2.751002e-11,2.751002e-11,2.751002e-11,2.751002e-11,2.751002e-11,2.751002e-11,2.751002e-11,2.751002e-11,2.751002e-11,,0.0,,
TS_EN,1.0,2.528471e-09,,2.528471e-09,2.528471e-09,2.528471e-09,2.528471e-09,2.528471e-09,2.528471e-09,2.528471e-09,2.528471e-09,2.528471e-09,,0.0,,
TWL,1.0,3.710483e-09,,3.710483e-09,3.710483e-09,3.710483e-09,3.710483e-09,3.710483e-09,3.710483e-09,3.710483e-09,3.710483e-09,3.710483e-09,,0.0,,
TWLDRV,1.0,1.966462e-11,,1.966462e-11,1.966462e-11,1.966462e-11,1.966462e-11,1.966462e-11,1.966462e-11,1.966462e-11,1.966462e-11,1.966462e-11,,0.0,,
