Index        {U}              V(V1)             V(V2)      
0       -7.10000000e-01    7.04210482e-01    1.02014216e+00
1       -7.09000000e-01    7.05210429e-01    1.01927145e+00
2       -7.08000000e-01    7.06210374e-01    1.01840123e+00
3       -7.07000000e-01    7.07210317e-01    1.01753151e+00
4       -7.06000000e-01    7.08210256e-01    1.01666230e+00
5       -7.05000000e-01    7.09210193e-01    1.01579358e+00
6       -7.04000000e-01    7.10210127e-01    1.01492537e+00
7       -7.03000000e-01    7.11210058e-01    1.01405767e+00
8       -7.02000000e-01    7.12209986e-01    1.01319048e+00
9       -7.01000000e-01    7.13209910e-01    1.01232380e+00
10      -7.00000000e-01    7.14209831e-01    1.01145763e+00
11      -6.99000000e-01    7.15209749e-01    1.01059199e+00
12      -6.98000000e-01    7.16209663e-01    1.00972687e+00
13      -6.97000000e-01    7.17209573e-01    1.00886227e+00
14      -6.96000000e-01    7.18209479e-01    1.00799819e+00
15      -6.95000000e-01    7.19209380e-01    1.00713465e+00
16      -6.94000000e-01    7.20209278e-01    1.00627163e+00
17      -6.93000000e-01    7.21209171e-01    1.00540915e+00
18      -6.92000000e-01    7.22209059e-01    1.00454721e+00
19      -6.91000000e-01    7.23208942e-01    1.00368581e+00
20      -6.90000000e-01    7.24208821e-01    1.00282494e+00
21      -6.89000000e-01    7.25208694e-01    1.00196463e+00
22      -6.88000000e-01    7.26208561e-01    1.00110486e+00
23      -6.87000000e-01    7.27208423e-01    1.00024564e+00
24      -6.86000000e-01    7.28208279e-01    9.99386976e-01
25      -6.85000000e-01    7.29208128e-01    9.98528868e-01
26      -6.84000000e-01    7.30207972e-01    9.97671318e-01
27      -6.83000000e-01    7.31207808e-01    9.96814331e-01
28      -6.82000000e-01    7.32207638e-01    9.95957908e-01
29      -6.81000000e-01    7.33207460e-01    9.95102053e-01
30      -6.80000000e-01    7.34207275e-01    9.94246769e-01
31      -6.79000000e-01    7.35207082e-01    9.93392058e-01
32      -6.78000000e-01    7.36206881e-01    9.92537924e-01
33      -6.77000000e-01    7.37206671e-01    9.91684369e-01
34      -6.76000000e-01    7.38206453e-01    9.90831396e-01
35      -6.75000000e-01    7.39206225e-01    9.89979009e-01
36      -6.74000000e-01    7.40205988e-01    9.89127211e-01
37      -6.73000000e-01    7.41205741e-01    9.88276004e-01
38      -6.72000000e-01    7.42205483e-01    9.87425392e-01
39      -6.71000000e-01    7.43205215e-01    9.86575377e-01
40      -6.70000000e-01    7.44204936e-01    9.85725963e-01
41      -6.69000000e-01    7.45204645e-01    9.84877153e-01
42      -6.68000000e-01    7.46204342e-01    9.84028951e-01
43      -6.67000000e-01    7.47204027e-01    9.83181358e-01
44      -6.66000000e-01    7.48203698e-01    9.82334379e-01
45      -6.65000000e-01    7.49203356e-01    9.81488017e-01
46      -6.64000000e-01    7.50203000e-01    9.80642274e-01
47      -6.63000000e-01    7.51202629e-01    9.79797155e-01
48      -6.62000000e-01    7.52202243e-01    9.78952662e-01
49      -6.61000000e-01    7.53201841e-01    9.78108799e-01
50      -6.60000000e-01    7.54201422e-01    9.77265569e-01
