Index        {U}              V(V1)             V(V2)      
0       -7.10000000e-01   -2.45235560e-01    1.04011096e+00
1       -7.09000000e-01   -2.44757337e-01    1.03923487e+00
2       -7.08000000e-01   -2.44279419e-01    1.03835924e+00
3       -7.07000000e-01   -2.43801802e-01    1.03748407e+00
4       -7.06000000e-01   -2.43324481e-01    1.03660936e+00
5       -7.05000000e-01   -2.42847449e-01    1.03573513e+00
6       -7.04000000e-01   -2.42370702e-01    1.03486136e+00
7       -7.03000000e-01   -2.41894234e-01    1.03398807e+00
8       -7.02000000e-01   -2.41418041e-01    1.03311525e+00
9       -7.01000000e-01   -2.40942116e-01    1.03224290e+00
10      -7.00000000e-01   -2.40466455e-01    1.03137104e+00
11      -6.99000000e-01   -2.39991053e-01    1.03049966e+00
12      -6.98000000e-01   -2.39515903e-01    1.02962876e+00
13      -6.97000000e-01   -2.39041001e-01    1.02875834e+00
14      -6.96000000e-01   -2.38566341e-01    1.02788842e+00
15      -6.95000000e-01   -2.38091919e-01    1.02701898e+00
16      -6.94000000e-01   -2.37617729e-01    1.02615004e+00
17      -6.93000000e-01   -2.37143765e-01    1.02528159e+00
18      -6.92000000e-01   -2.36670023e-01    1.02441364e+00
19      -6.91000000e-01   -2.36196498e-01    1.02354619e+00
20      -6.90000000e-01   -2.35723183e-01    1.02267925e+00
21      -6.89000000e-01   -2.35250075e-01    1.02181281e+00
22      -6.88000000e-01   -2.34777167e-01    1.02094687e+00
23      -6.87000000e-01   -2.34304455e-01    1.02008145e+00
24      -6.86000000e-01   -2.33831934e-01    1.01921654e+00
25      -6.85000000e-01   -2.33359598e-01    1.01835214e+00
26      -6.84000000e-01   -2.32887442e-01    1.01748826e+00
27      -6.83000000e-01   -2.32415462e-01    1.01662491e+00
28      -6.82000000e-01   -2.31943651e-01    1.01576207e+00
29      -6.81000000e-01   -2.31472006e-01    1.01489976e+00
30      -6.80000000e-01   -2.31000521e-01    1.01403798e+00
31      -6.79000000e-01   -2.30529191e-01    1.01317673e+00
32      -6.78000000e-01   -2.30058011e-01    1.01231601e+00
33      -6.77000000e-01   -2.29586977e-01    1.01145583e+00
34      -6.76000000e-01   -2.29116082e-01    1.01059619e+00
35      -6.75000000e-01   -2.28645323e-01    1.00973709e+00
36      -6.74000000e-01   -2.28174695e-01    1.00887853e+00
37      -6.73000000e-01   -2.27704192e-01    1.00802052e+00
38      -6.72000000e-01   -2.27233809e-01    1.00716306e+00
39      -6.71000000e-01   -2.26763543e-01    1.00630615e+00
40      -6.70000000e-01   -2.26293388e-01    1.00544980e+00
41      -6.69000000e-01   -2.25823339e-01    1.00459400e+00
42      -6.68000000e-01   -2.25353392e-01    1.00373877e+00
43      -6.67000000e-01   -2.24883542e-01    1.00288410e+00
44      -6.66000000e-01   -2.24413784e-01    1.00202999e+00
45      -6.65000000e-01   -2.23944114e-01    1.00117645e+00
46      -6.64000000e-01   -2.23474527e-01    1.00032349e+00
47      -6.63000000e-01   -2.23005019e-01    9.99471101e-01
48      -6.62000000e-01   -2.22535584e-01    9.98619290e-01
49      -6.61000000e-01   -2.22066219e-01    9.97768060e-01
50      -6.60000000e-01   -2.21596918e-01    9.96917413e-01
51      -6.59000000e-01   -2.21127678e-01    9.96067353e-01
52      -6.58000000e-01   -2.20658494e-01    9.95217883e-01
53      -6.57000000e-01   -2.20189362e-01    9.94369006e-01
54      -6.56000000e-01   -2.19720277e-01    9.93520724e-01
55      -6.55000000e-01   -2.19251235e-01    9.92673042e-01
56      -6.54000000e-01   -2.18782232e-01    9.91825961e-01
57      -6.53000000e-01   -2.18313263e-01    9.90979485e-01
58      -6.52000000e-01   -2.17844324e-01    9.90133618e-01
59      -6.51000000e-01   -2.17375411e-01    9.89288361e-01
60      -6.50000000e-01   -2.16906520e-01    9.88443719e-01
61      -6.49000000e-01   -2.16437646e-01    9.87599695e-01
62      -6.48000000e-01   -2.15968786e-01    9.86756291e-01
63      -6.47000000e-01   -2.15499936e-01    9.85913511e-01
64      -6.46000000e-01   -2.15031091e-01    9.85071359e-01
65      -6.45000000e-01   -2.14562248e-01    9.84229837e-01
66      -6.44000000e-01   -2.14093402e-01    9.83388948e-01
67      -6.43000000e-01   -2.13624550e-01    9.82548697e-01
68      -6.42000000e-01   -2.13155687e-01    9.81709086e-01
69      -6.41000000e-01   -2.12686811e-01    9.80870119e-01
70      -6.40000000e-01   -2.12217916e-01    9.80031799e-01
71      -6.39000000e-01   -2.11749000e-01    9.79194129e-01
72      -6.38000000e-01   -2.11280059e-01    9.78357113e-01
73      -6.37000000e-01   -2.10811089e-01    9.77520754e-01
74      -6.36000000e-01   -2.10342085e-01    9.76685056e-01
75      -6.35000000e-01   -2.09873046e-01    9.75850023e-01
76      -6.34000000e-01   -2.09403966e-01    9.75015656e-01
77      -6.33000000e-01   -2.08934843e-01    9.74181961e-01
78      -6.32000000e-01   -2.08465673e-01    9.73348941e-01
79      -6.31000000e-01   -2.07996453e-01    9.72516599e-01
80      -6.30000000e-01   -2.07527178e-01    9.71684939e-01
81      -6.29000000e-01   -2.07057846e-01    9.70853964e-01
82      -6.28000000e-01   -2.06588454e-01    9.70023679e-01
83      -6.27000000e-01   -2.06118997e-01    9.69194086e-01
84      -6.26000000e-01   -2.05649473e-01    9.68365190e-01
85      -6.25000000e-01   -2.05179878e-01    9.67536993e-01
86      -6.24000000e-01   -2.04710210e-01    9.66709501e-01
87      -6.23000000e-01   -2.04240464e-01    9.65882716e-01
88      -6.22000000e-01   -2.03770639e-01    9.65056643e-01
89      -6.21000000e-01   -2.03300730e-01    9.64231285e-01
90      -6.20000000e-01   -2.02830735e-01    9.63406646e-01
91      -6.19000000e-01   -2.02360650e-01    9.62582730e-01
92      -6.18000000e-01   -2.01890473e-01    9.61759540e-01
93      -6.17000000e-01   -2.01420200e-01    9.60937081e-01
94      -6.16000000e-01   -2.00949830e-01    9.60115357e-01
95      -6.15000000e-01   -2.00479358e-01    9.59294372e-01
96      -6.14000000e-01   -2.00008782e-01    9.58474128e-01
97      -6.13000000e-01   -1.99538099e-01    9.57654632e-01
98      -6.12000000e-01   -1.99067306e-01    9.56835886e-01
99      -6.11000000e-01   -1.98596401e-01    9.56017894e-01
100     -6.10000000e-01   -1.98125380e-01    9.55200662e-01
101     -6.09000000e-01   -1.97654242e-01    9.54384192e-01
102     -6.08000000e-01   -1.97182983e-01    9.53568489e-01
103     -6.07000000e-01   -1.96711602e-01    9.52753557e-01
104     -6.06000000e-01   -1.96240094e-01    9.51939401e-01
105     -6.05000000e-01   -1.95768458e-01    9.51126024e-01
106     -6.04000000e-01   -1.95296691e-01    9.50313431e-01
107     -6.03000000e-01   -1.94824791e-01    9.49501625e-01
108     -6.02000000e-01   -1.94352756e-01    9.48690613e-01
109     -6.01000000e-01   -1.93880582e-01    9.47880397e-01
110     -6.00000000e-01   -1.93408267e-01    9.47070982e-01
111     -5.99000000e-01   -1.92935810e-01    9.46262373e-01
112     -5.98000000e-01   -1.92463208e-01    9.45454573e-01
113     -5.97000000e-01   -1.91990458e-01    9.44647588e-01
114     -5.96000000e-01   -1.91517558e-01    9.43841422e-01
115     -5.95000000e-01   -1.91044506e-01    9.43036079e-01
116     -5.94000000e-01   -1.90571300e-01    9.42231564e-01
117     -5.93000000e-01   -1.90097938e-01    9.41427881e-01
118     -5.92000000e-01   -1.89624417e-01    9.40625036e-01
119     -5.91000000e-01   -1.89150736e-01    9.39823032e-01
120     -5.90000000e-01   -1.88676892e-01    9.39021874e-01
121     -5.89000000e-01   -1.88202884e-01    9.38221568e-01
122     -5.88000000e-01   -1.87728709e-01    9.37422117e-01
123     -5.87000000e-01   -1.87254365e-01    9.36623527e-01
124     -5.86000000e-01   -1.86779850e-01    9.35825802e-01
