sample_id,corner,temperature,vdd,rows,cols,choose_columnmux,pu_width,pd_width,pg_width,cell_length,pu_model,pd_model,pg_model,sa_p_width,sa_n_width,sa_length,sa_p_model,sa_n_model,wld_nand_p_width,wld_inv_p_width,wld_nand_n_width,wld_inv_n_width,wld_length,wld_nand_p_model,wld_inv_p_model,wld_nand_n_model,wld_inv_n_model,prc_p_width,prc_length,prc_p_model,mux_p_width,mux_n_width,mux_length,mux_p_model,mux_n_model,wrd_p_width,wrd_n_width,wrd_length,wrd_p_model,wrd_n_model,dec_nand_p_width,dec_inv_p_width,dec_nand_n_width,dec_inv_n_width,dec_length,dec_nand_p_model,dec_inv_p_model,dec_nand_n_model,dec_inv_n_model,mc_runs,vth_std,use_mc,use_rc,use_equivalent,raw_read_delay,raw_write_delay,read_pstc,read_pdyn,write_pstc,write_pdyn,hold_snm,read_snm,write_snm,valid_snm,valid_delay,valid_design,status,num_arrays,area,total_macro_area,single_array_area,single_array_area_um2,area_um2
0,TT,25.0,1.0,16,32,False,1.0251304968685027e-07,2.307797792552786e-07,1.3659105375624138e-07,5.2609175326576105e-08,PMOS_VTG,NMOS_VTL,NMOS_VTL,6.450330658268735e-07,2.686234724167976e-07,5.4879048500506574e-08,PMOS_VTH,NMOS_VTG,2.4921385464890304e-07,2.385378213646151e-07,2.0274790256955025e-07,7.786438017026596e-08,5.9243871349980944e-08,PMOS_VTH,PMOS_VTL,NMOS_VTG,NMOS_VTL,3.19471502295883e-07,5.2208456106078945e-08,PMOS_VTL,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,6.298496e-10,5.0344295e-10,0.0003326832,-0.000124788,0.0003569321,-3.282956e-05,0.3109736674155705,0.1392953605037126,0.8213381980659883,True,True,True,ok,512,7.687692899239355e-07,7.687692899239355e-07,1.5015025193826866e-09,1501.5025193826866,768769.2899239355
1,TT,25.0,1.0,32,16,False,7.458919611480706e-08,2.347455254780054e-07,1.2756986717729894e-07,5.3527034902706535e-08,PMOS_VTG,NMOS_VTL,NMOS_VTL,6.340656961294079e-07,2.2247995954132653e-07,5.2449017421704496e-08,PMOS_VTG,NMOS_VTH,3.0661558170138133e-07,2.475166092491316e-07,1.4620893125239533e-07,1.0058136323231956e-07,5.303138079444684e-08,PMOS_VTL,PMOS_VTL,NMOS_VTL,NMOS_VTL,2.961353041181905e-07,5.152465176841096e-08,PMOS_VTL,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,6.330477e-10,4.0622585e-10,0.0003341061,-0.0001434533,0.000357425,-9.45486e-05,0.3023074345875991,0.1374850886550223,0.8938892559329695,True,True,True,ok,512,7.439061644107767e-07,7.439061644107767e-07,1.4529417273647982e-09,1452.9417273647982,743906.1644107767
2,TT,25.0,1.0,32,32,False,8.693050066505243e-08,2.3367302413695243e-07,1.4033468444239208e-07,5.546654786721614e-08,PMOS_VTG,NMOS_VTH,NMOS_VTG,5.795491657528283e-07,3.195542306313387e-07,5.7319362599443074e-08,PMOS_VTH,NMOS_VTL,2.703281615146779e-07,2.799814822864144e-07,1.7044019423428386e-07,9.041570142645002e-08,5.71351300058162e-08,PMOS_VTH,PMOS_VTG,NMOS_VTL,NMOS_VTH,2.913463108090558e-07,5.239229737535885e-08,PMOS_VTH,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,7.092145e-10,4.92981e-10,0.0003245861,-4.356293e-05,0.0003500445,5.791392e-05,0.4013395325155722,0.1937351283353895,0.8324163127276173,True,True,True,ok,256,5.884315001657706e-07,5.884315001657706e-07,2.2985605475225413e-09,2298.560547522541,588431.5001657705
3,TT,25.0,1.0,32,32,False,7.73100473840343e-08,1.7755477154570708e-07,1.2906569004152424e-07,5.3779834901807626e-08,PMOS_VTL,NMOS_VTG,NMOS_VTH,5.417496192483413e-07,3.200593943984616e-07,5.051152945451711e-08,PMOS_VTH,NMOS_VTL,3.039367905348159e-07,2.3449296767462362e-07,1.7546143478446717e-07,1.0169694819904526e-07,5.3013033412270464e-08,PMOS_VTH,PMOS_VTH,NMOS_VTG,NMOS_VTG,2.868885944561668e-07,5.7261745438327316e-08,PMOS_VTL,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,-4.934924e-09,6.300479199999998e-10,0.0003300567,-5.071706e-05,0.0003542967,7.414266e-05,0.360685418787852,0.2645430626278354,0.4902267538975126,True,False,False,ok,256,5.54866847107053e-07,5.54866847107053e-07,2.1674486215119257e-09,2167.448621511926,554866.847107053
4,TT,25.0,1.0,16,32,False,8.976018214306916e-08,2.416308613870341e-07,1.5753530946591928e-07,5.759087718985023e-08,PMOS_VTL,NMOS_VTL,NMOS_VTH,4.65649329230885e-07,2.581658745060967e-07,5.2933692912286536e-08,PMOS_VTG,NMOS_VTH,3.09189697239214e-07,3.004158236010696e-07,1.8407313946773722e-07,9.550587878626997e-08,5.679905059948202e-08,PMOS_VTL,PMOS_VTG,NMOS_VTG,NMOS_VTL,3.0726087407256336e-07,5.874814771201708e-08,PMOS_VTH,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,7.113858e-10,,0.0003303317,-0.0001272564,,,,,,False,False,False,failed,512,7.549748411340173e-07,7.549748411340173e-07,1.4745602365898776e-09,1474.5602365898776,754974.8411340173
5,TT,25.0,1.0,16,32,False,7.565028136427081e-08,2.4002114665826136e-07,1.4591297968966237e-07,5.543368031791522e-08,PMOS_VTL,NMOS_VTH,NMOS_VTH,6.109412973234799e-07,2.9655243686293455e-07,5.979766104303122e-08,PMOS_VTG,NMOS_VTL,2.552030186366751e-07,2.404233297497471e-07,2.1268964666514238e-07,7.931773956493122e-08,5.8113534232327754e-08,PMOS_VTL,PMOS_VTH,NMOS_VTG,NMOS_VTL,3.2075303059743096e-07,5.897835939589468e-08,PMOS_VTG,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,6.673603e-10,6.3512649e-10,0.0003256999,-0.0001238135,0.0003506369,-3.237442e-05,0.3755899965410382,0.2829851428722331,0.5700393483338134,True,True,True,ok,512,7.653836512856482e-07,7.653836512856482e-07,1.4948899439172816e-09,1494.8899439172817,765383.6512856482
6,TT,25.0,1.0,16,32,False,7.701308626757674e-08,1.6993998477555538e-07,1.1680972104151825e-07,5.1241597773515024e-08,PMOS_VTL,NMOS_VTH,NMOS_VTG,6.019905615604135e-07,2.395207939400882e-07,5.649727975411306e-08,PMOS_VTH,NMOS_VTG,2.5522074957234344e-07,2.806330009176083e-07,1.504409062221943e-07,1.0109236528183797e-07,5.9156250095429145e-08,PMOS_VTL,PMOS_VTG,NMOS_VTL,NMOS_VTL,3.121856698137921e-07,5.551078796189064e-08,PMOS_VTH,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,6.728956e-10,5.1202434e-10,0.000326827,-0.0001244591,0.0003522058,-4.775899e-05,0.3541280831444017,0.1932121882224698,0.7714939398326597,True,True,True,ok,512,7.074150718965158e-07,7.074150718965158e-07,1.3816700622978824e-09,1381.6700622978824,707415.0718965158
7,TT,25.0,1.0,16,16,False,1.0052369641847683e-07,1.730103134768829e-07,1.516246075365309e-07,5.359034884873982e-08,PMOS_VTH,NMOS_VTH,NMOS_VTL,6.345439272880211e-07,2.8148578755798214e-07,5.016259705964519e-08,PMOS_VTG,NMOS_VTL,2.952349571971602e-07,2.8044525744836164e-07,1.4520190690317578e-07,8.742100117425947e-08,5.403167359059228e-08,PMOS_VTG,PMOS_VTG,NMOS_VTH,NMOS_VTG,2.677717463600359e-07,5.896910443312943e-08,PMOS_VTG,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,5.34323e-10,4.4199585e-10,0.0003234948,-0.000185224,0.0003476487,-0.0001576826,0.4301081365528078,0.009174249452274,1.026583922419623,True,True,True,ok,1024,9.341154504943597e-07,9.341154504943597e-07,9.122221196233981e-10,912.2221196233982,934115.4504943597
8,TT,25.0,1.0,32,32,False,8.53399993247218e-08,2.263668863928754e-07,1.533600411536985e-07,5.986013381400041e-08,PMOS_VTG,NMOS_VTL,NMOS_VTG,5.288326592837047e-07,2.663899741010664e-07,5.1924477287791394e-08,PMOS_VTL,NMOS_VTG,2.459004809904417e-07,3.15783686673873e-07,1.6611074411723618e-07,1.0432188356696257e-07,5.7576434528981093e-08,PMOS_VTG,PMOS_VTL,NMOS_VTH,NMOS_VTH,2.797161217498784e-07,5.9369964707324534e-08,PMOS_VTH,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,7.197478e-10,5.140749399999998e-10,0.000332611,-4.727997e-05,0.0003573316,5.848314e-05,0.3234468295102685,0.1721075638615517,0.8487270465614049,True,True,True,ok,256,5.989196644549914e-07,5.989196644549914e-07,2.3395299392773103e-09,2339.5299392773104,598919.6644549915
9,TT,25.0,1.0,32,32,False,8.134488934660761e-08,1.6623481518912678e-07,1.0873418421104349e-07,5.468613689661071e-08,PMOS_VTH,NMOS_VTL,NMOS_VTL,5.028606165457269e-07,2.508293504389251e-07,5.4595109081514585e-08,PMOS_VTH,NMOS_VTL,3.0941255399048217e-07,3.005490938336704e-07,2.158591368869856e-07,9.857555813403639e-08,5.7328965978779746e-08,PMOS_VTG,PMOS_VTL,NMOS_VTG,NMOS_VTG,3.046834003793314e-07,5.33820309056436e-08,PMOS_VTL,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,6.618092e-10,4.8873162e-10,0.0003341733,-5.444078e-05,0.0003579226,5.63866e-05,0.2944379675593485,0.1023832820249826,0.9213854672794004,True,True,True,ok,256,5.447298116345869e-07,5.447298116345869e-07,2.127850826697605e-09,2127.850826697605,544729.8116345869
